Data,CAMBIOREAL,CDS_5_ANOS,PASSEXTERNO,TOTL,VIXFINAL,DIVBRUTA,SWAPREAL,D0804,crb
2017Q2,96.0166666667,231.3333,0.308,99.9966666666666,10.89,0.7977,0.0404083096373177,0,466.06
2017Q3,97.4333333333,200,0.347,98.81,10.5,0.8053,0.0325823060078545,0,446.543333333333
2017Q4,99.67,163.6667,0.321,100.563333333333,9.8,0.819133333333333,0.0330374237002939,0,429.333333333333
2018Q1,101.346666667,152.3333,0.37,101.28,20,0.826366666666666,0.0259262977696525,0,438.666666666666
2018Q2,109.156666667,222.3333,0.262,99.4666666666666,12,0.847133333333333,0.0299515733126236,0,442.333333333333
2018Q3,113.986666667,253.6667,0.271,99.9333333333333,21,0.843966666666666,0.0341557839558753,0,426
2018Q4,107.51,191.6667,0.331,99.3933333333333,16,0.840433333333333,0.0258612527068718,0,414.666666666666
2019Q1,106.526666667,165.6667,0.339,98.6633333333333,13,0.841833333333333,0.0262024090004246,0,414
2019Q2,109.12,165.6667,0.371,100.426666666666,13,0.842966666666666,0.0223862189981964,0,420.666666666666
2019Q3,110.06,137,0.341,101.93,16,0.850766666666666,0.016,0,399
2019Q4,112.47,120,0.419,99.5866666666666,18,0.862333333333333,0.01,0,388
2020Q1,120.77,166,0.239,100.266666666666,27,0.863499999999999,0.0056,0,381.333333333333
2020Q2,143.49,300,0.261,96.6533333333333,20,0.8819,-0.003875969,0,359.333333333333
2020Q3,148.15,200,0.26,98.7166666666666,18,0.894333333333333,-0.004365939,0,393.333333333333
2020q4,147.9,174,0.383,107.563333333333,27,0.9408,-0.001572955,0,443
2021q1,149.35,194,0.315,116.8,25,0.961066666666666,0.0017,0,506
2021q2,143.97,174,0.399,116.546666666666,16.6,0.9203,0.0193,0,562
2021q3,140,183,0.304,117,19,0.910433333333333,0.036,0,571
2021q4,144.6,233,0.367,106,17.3,0.894,0.0628,0,578
2022q1,134.6,216,0.512,106.81,24.6,0.891533333333333,0.0706,0,634
2022q2,121.94,250,0.401,105.3,24,0.881033333333333,0.077,0,596
2022q3,129.8,273,0.395,108.15,22.2,0.859433333333333,0.077,0,559
2022q4,128,259,0.402,106,20.6,0.8483,0.0769,0,554
2023q1,129,225,0.396,105.8,20.3,0.830833333333333,0.0713,0,550
2023q2,120.88,200,0.43,108,20.3,0.8437,0.0679,0,547
2023q3,120,175,0.43,107.7,20.3,0.84,0.065,0,550
